state	iter0	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
Abf1_murphy	1.79736716e-07	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907
Abf2_badis	0.0003265665035	0.0003873639495	0.0004647745399	0.0004891083193	0.0004954556503	0.0004961699337	0.0004953512221	0.0004946530012	0.0004941218416	0.0004941869789	0.0004940312759
Ace2_badis	3.751052708e-06	1.835032127e-05	4.159300497e-05	5.20739651e-05	5.870301896e-05	6.278737423e-05	6.517114621e-05	6.649064948e-05	6.72281428e-05	6.760678972e-05	6.781673803e-05
Adr1_badis	0.0002075404984	0.0006080746152	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907
Aft1_zhu	3.187670851e-06	3.943705734e-07	3.513284285e-08	0	0	0	0	0	0	0	0
Aft2_badis	0.0001426825117	0.0002070749738	0.0002951738791	0.0003743491692	0.0004339422328	0.0004731998466	0.0004969960019	0.0005106175731	0.0005183515432	0.0005224230481	0.0005247878349
Aro80_zhu	4.840974146e-05	3.788048007e-05	2.807613454e-05	1.836137623e-05	1.184619401e-05	7.617071545e-06	4.853968168e-06	3.073480368e-06	1.91387341e-06	1.156098167e-06	6.919988322e-07
Asg1_zhu	8.265990269e-09	0	0	0	0	0	0	0	0	0	0
Azf1_badis	5.995747895e-05	3.424117054e-05	2.627520991e-05	1.838664946e-05	1.22600597e-05	7.860216662e-06	4.902527883e-06	3.010518894e-06	1.786518603e-06	1.046816513e-06	5.930053785e-07
Bas1_zhu	7.290203301e-07	1.876580188e-06	1.03932191e-06	4.119351899e-07	1.464978824e-07	5.014057994e-08	1.66680524e-08	0	0	0	0
Cad1_murphy	5.012926302e-06	2.457427131e-07	0	0	0	0	0	0	0	0	0
Cat8_badis	0.0004975433155	0.0006699602783	0.0006691756907	0.0006691756907	0.0006691756907	0.0006996369934	0.0006691756907	0.0006934098343	0.0006691756907	0.0006931476277	0.0006691756907
Cbf1_zhu	0.0001117535605	0.0002132175366	0.0003403725369	0.0004402331409	0.0004993146038	0.0005283419721	0.0005407514525	0.0005461827678	0.0005480677453	0.0005490205336	0.000549121171
Cep3_badis	5.77214945e-05	6.997349926e-05	9.011261104e-05	9.631535447e-05	9.694383308e-05	9.511014415e-05	9.272586921e-05	9.06253418e-05	8.89864171e-05	8.812339685e-05	8.741640831e-05
Cha4_zhu	7.840465676e-06	4.533786745e-06	2.571081836e-06	1.194568569e-06	4.517588052e-07	1.124952392e-07	1.221694708e-08	0	0	0	0
Cin5_murphy	1.766319584e-06	0.0001879891812	0.0006120926312	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907
Crz1_badis	1.460506744e-07	1.107529893e-06	1.211102813e-05	6.325389436e-05	9.649489058e-05	0.0001025500353	0.0001032026542	0.000103067371	0.0001028880668	0.000102632504	0.0001025394521
Cst6_murphy	4.741112337e-06	1.15247312e-06	1.29602991e-07	1.389786367e-08	0	0	0	0	0	0	0
Cup9_badis	1.607899499e-06	4.082731331e-08	0	0	0	0	0	0	0	0	0
Dal80_badis	9.819441878e-05	9.19666787e-05	7.275420223e-05	5.556013249e-05	4.333162847e-05	3.463774976e-05	2.81593443e-05	2.311832692e-05	1.911917687e-05	1.586462825e-05	1.316782027e-05
Dal82_badis	5.85229487e-06	6.709335118e-07	0	0	0	0	0	0	0	0	0
Ecm22_murphy	3.25318894e-06	2.166795956e-07	1.05089501e-08	0	0	0	0	0	0	0	0
Ecm23_badis	4.854650133e-06	2.011273187e-07	0	0	0	0	0	0	0	0	0
Fhl1_zhu	3.299626049e-05	0.0002652522493	0.0006648906494	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907
Fkh1_zhu	6.121900244e-06	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907
Fkh2_zhu	1.635176123e-05	1.802795093e-06	2.24029173e-07	1.405907104e-08	0	0	0	0	0	0	0
Fzf1_badis	0.0002643259487	0.0004295151525	0.0005909252996	0.0006698543417	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907	0.0006691756907
Gal4_zhu	1.194746263e-05	9.078258719e-08	0	0	0	0	0	0	0	0	0
